loc,type,time,value
AUS,BEEF,2018,19.965
AUS,BEEF,2019,19.698
AUS,BEEF,2020,19.438
AUS,BEEF,2021,19.187
AUS,BEEF,2022,19.088
AUS,BEEF,2023,18.864
AUS,BEEF,2024,18.518
AUS,BEEF,2025,18.439
AUS,BEEF,2026,18.365
AUS,BEEF,2027,18.29
AUS,BEEF,2028,18.217
AUS,BEEF,2029,18.149
CAN,BEEF,2018,18.422
CAN,BEEF,2019,17.623
CAN,BEEF,2020,17.578
CAN,BEEF,2021,17.394
CAN,BEEF,2022,17.188
CAN,BEEF,2023,16.994
CAN,BEEF,2024,16.837
CAN,BEEF,2025,16.646
CAN,BEEF,2026,16.461
CAN,BEEF,2027,16.315
CAN,BEEF,2028,16.165
CAN,BEEF,2029,16.021
JPN,BEEF,2018,7.356
JPN,BEEF,2019,7.541
JPN,BEEF,2020,7.643
JPN,BEEF,2021,7.657
JPN,BEEF,2022,7.673
JPN,BEEF,2023,7.598
JPN,BEEF,2024,7.605
JPN,BEEF,2025,7.619
JPN,BEEF,2026,7.626
JPN,BEEF,2027,7.637
JPN,BEEF,2028,7.652
JPN,BEEF,2029,7.666
KOR,BEEF,2018,10.83
KOR,BEEF,2019,11.822
KOR,BEEF,2020,11.85
KOR,BEEF,2021,11.908
KOR,BEEF,2022,11.968
KOR,BEEF,2023,12.031
KOR,BEEF,2024,12.096
KOR,BEEF,2025,12.163
KOR,BEEF,2026,12.234
KOR,BEEF,2027,12.279
KOR,BEEF,2028,12.34
KOR,BEEF,2029,12.404
MEX,BEEF,2018,9.243
MEX,BEEF,2019,9.167
MEX,BEEF,2020,8.971
MEX,BEEF,2021,8.986
MEX,BEEF,2022,8.996
MEX,BEEF,2023,9.036
MEX,BEEF,2024,9.096
MEX,BEEF,2025,9.1
MEX,BEEF,2026,9.128
MEX,BEEF,2027,9.108
MEX,BEEF,2028,9.092
MEX,BEEF,2029,9.06
NZL,BEEF,2018,11.837
NZL,BEEF,2019,11.609
NZL,BEEF,2020,11.548
NZL,BEEF,2021,11.663
NZL,BEEF,2022,11.371
NZL,BEEF,2023,11.36
NZL,BEEF,2024,11.349
NZL,BEEF,2025,11.34
NZL,BEEF,2026,11.335
NZL,BEEF,2027,11.327
NZL,BEEF,2028,11.321
NZL,BEEF,2029,11.318
TUR,BEEF,2018,9.839
TUR,BEEF,2019,9.474
TUR,BEEF,2020,9.633
TUR,BEEF,2021,9.818
TUR,BEEF,2022,9.966
TUR,BEEF,2023,10.117
TUR,BEEF,2024,10.284
TUR,BEEF,2025,10.452
TUR,BEEF,2026,10.611
TUR,BEEF,2027,10.76
TUR,BEEF,2028,10.916
TUR,BEEF,2029,11.077
USA,BEEF,2018,26.057
USA,BEEF,2019,26.324
USA,BEEF,2020,26.195
USA,BEEF,2021,26.081
USA,BEEF,2022,25.342
USA,BEEF,2023,25.318
USA,BEEF,2024,25.309
USA,BEEF,2025,25.394
USA,BEEF,2026,25.58
USA,BEEF,2027,25.712
USA,BEEF,2028,25.945
USA,BEEF,2029,25.969
ARG,BEEF,2018,38.881
ARG,BEEF,2019,37.985
ARG,BEEF,2020,36.894
ARG,BEEF,2021,36.853
ARG,BEEF,2022,36.894
ARG,BEEF,2023,36.758
ARG,BEEF,2024,36.631
ARG,BEEF,2025,36.521
ARG,BEEF,2026,36.386
ARG,BEEF,2027,36.264
ARG,BEEF,2028,36.144
ARG,BEEF,2029,36.035
BRA,BEEF,2018,25.263
BRA,BEEF,2019,25.187
BRA,BEEF,2020,24.445
BRA,BEEF,2021,24.605
BRA,BEEF,2022,24.559
BRA,BEEF,2023,24.618
