loc,type,time,value
AUS,BEEF,2020,19.438
CAN,BEEF,2020,17.578
JPN,BEEF,2020,7.643
KOR,BEEF,2020,11.85
MEX,BEEF,2020,8.971
NZL,BEEF,2020,11.548
TUR,BEEF,2020,9.633
USA,BEEF,2020,26.195
ARG,BEEF,2020,36.894
BRA,BEEF,2020,24.445
CHL,BEEF,2020,20.262
CHN,BEEF,2020,4.186
COL,BEEF,2020,8.62
EGY,BEEF,2020,7.8
ETH,BEEF,2020,2.486
IND,BEEF,2020,0.532
IDN,BEEF,2020,2.178
IRN,BEEF,2020,5.77
ISR,BEEF,2020,23.214
KAZ,BEEF,2020,19.828
MYS,BEEF,2020,5.409
NGA,BEEF,2020,1.306
PAK,BEEF,2020,6.422
PRY,BEEF,2020,12.034
PER,BEEF,2020,4.143
PHL,BEEF,2020,3.129
RUS,BEEF,2020,10.034
SAU,BEEF,2020,3.868
ZAF,BEEF,2020,11.395
THA,BEEF,2020,1.233
UKR,BEEF,2020,4.644
VNM,BEEF,2020,8.254
WLD,BEEF,2020,6.391
NOR,BEEF,2020,12.806
CHE,BEEF,2020,13.107
GBR,BEEF,2020,11.329
