loc,time,beef,pig
AUS,2020,19.438,20.212
CAN,2020,17.578,15.881
JPN,2020,7.643,16.13
KOR,2020,11.85,31.565
MEX,2020,8.971,14.42
NZL,2020,11.548,19.063
TUR,2020,9.633,0
USA,2020,26.195,23.983
ARG,2020,36.894,11.476
BRA,2020,24.445,12.753
CHL,2020,20.262,24.762
CHN,2020,4.186,22.718
COL,2020,8.62,8.994
EGY,2020,7.8,0.002
ETH,2020,2.486,0.014
IND,2020,0.532,0.168
IDN,2020,2.178,1.008
IRN,2020,5.77,0
ISR,2020,23.214,1.311
KAZ,2020,19.828,4.664
MYS,2020,5.409,5.263
NGA,2020,1.306,1.079
PAK,2020,6.422,0
PRY,2020,12.034,21.479
PER,2020,4.143,4.038
PHL,2020,3.129,14.898
RUS,2020,10.034,20.714
SAU,2020,3.868,0.402
ZAF,2020,11.395,3.699
THA,2020,1.233,9.873
UKR,2020,4.644,12.86
VNM,2020,8.254,25.017
WLD,2020,6.391,10.678
NOR,2020,12.806,21.102
CHE,2020,13.107,22.46
GBR,2020,11.329,15.816
