LOCATION,SUBJECT,TIME,KGPERCAP
AUS,BEEF,2020,19.438
AUS,PIG,2020,20.212
AUS,POULTRY,2020,43.792
AUS,SHEEP,2020,5.874
CAN,BEEF,2020,17.578
CAN,PIG,2020,15.881
CAN,POULTRY,2020,35.527
CAN,SHEEP,2020,0.974
JPN,BEEF,2020,7.643
JPN,PIG,2020,16.13
JPN,POULTRY,2020,17.734
JPN,SHEEP,2020,0.16
KOR,BEEF,2020,11.85
KOR,PIG,2020,31.565
KOR,POULTRY,2020,18.742
KOR,SHEEP,2020,0.332
MEX,BEEF,2020,8.971
MEX,PIG,2020,14.42
MEX,POULTRY,2020,30.586
MEX,SHEEP,2020,0.544
NZL,BEEF,2020,11.548
NZL,PIG,2020,19.063
NZL,POULTRY,2020,40.079
NZL,SHEEP,2020,3.446
TUR,BEEF,2020,9.633
TUR,PIG,2020,0
TUR,POULTRY,2020,19.183
TUR,SHEEP,2020,4.231
USA,BEEF,2020,26.195
USA,PIG,2020,23.983
USA,POULTRY,2020,50.963
USA,SHEEP,2020,0.431
ARG,BEEF,2020,36.894
ARG,PIG,2020,11.476
ARG,POULTRY,2020,38.088
ARG,SHEEP,2020,0.973
BRA,BEEF,2020,24.445
BRA,PIG,2020,12.753
BRA,POULTRY,2020,40.762
BRA,SHEEP,2020,0.521
CHL,BEEF,2020,20.262
CHL,PIG,2020,24.762
CHL,POULTRY,2020,37.073
CHL,SHEEP,2020,0.484
CHN,BEEF,2020,4.186
CHN,PIG,2020,22.718
CHN,POULTRY,2020,14.191
CHN,SHEEP,2020,3.305
COL,BEEF,2020,8.62
COL,PIG,2020,8.994
COL,POULTRY,2020,31.704
COL,SHEEP,2020,0.142
EGY,BEEF,2020,7.8
EGY,PIG,2020,0.002
EGY,POULTRY,2020,11.243
EGY,SHEEP,2020,1.093
ETH,BEEF,2020,2.486
ETH,PIG,2020,0.014
ETH,POULTRY,2020,0.113
ETH,SHEEP,2020,0.469
IND,BEEF,2020,0.532
IND,PIG,2020,0.168
IND,POULTRY,2020,2.517
IND,SHEEP,2020,0.458
IDN,BEEF,2020,2.178
IDN,PIG,2020,1.008
IDN,POULTRY,2020,7.903
IDN,SHEEP,2020,0.429
IRN,BEEF,2020,5.77
IRN,PIG,2020,0
IRN,POULTRY,2020,23.474
IRN,SHEEP,2020,4.184
ISR,BEEF,2020,23.214
ISR,PIG,2020,1.311
ISR,POULTRY,2020,64.436
ISR,SHEEP,2020,1.525
KAZ,BEEF,2020,19.828
KAZ,PIG,2020,4.664
KAZ,POULTRY,2020,16.761
KAZ,SHEEP,2020,8.247
MYS,BEEF,2020,5.409
MYS,PIG,2020,5.263
MYS,POULTRY,2020,49.333
MYS,SHEEP,2020,1.072
NGA,BEEF,2020,1.306
NGA,PIG,2020,1.079
NGA,POULTRY,2020,0.842
NGA,SHEEP,2020,1.72
PAK,BEEF,2020,6.422
PAK,PIG,2020,0
PAK,POULTRY,2020,6.621
PAK,SHEEP,2020,2.018
PRY,BEEF,2020,12.034
PRY,PIG,2020,21.479
PRY,POULTRY,2020,5.339
PRY,SHEEP,2020,0.493
PER,BEEF,2020,4.143
PER,PIG,2020,4.038
PER,POULTRY,2020,45.957
PER,SHEEP,2020,1.027
PHL,BEEF,2020,3.129
PHL,PIG,2020,14.898
PHL,POULTRY,2020,13.742
PHL,SHEEP,2020,0.506
RUS,BEEF,2020,10.034
RUS,PIG,2020,20.714
RUS,POULTRY,2020,30.816
RUS,SHEEP,2020,1.276
SAU,BEEF,2020,3.868
SAU,PIG,2020,0.402
SAU,POULTRY,2020,34.83
SAU,SHEEP,2020,4.387
ZAF,BEEF,2020,11.395
ZAF,PIG,2020,3.699
ZAF,POULTRY,2020,34.5
ZAF,SHEEP,2020,2.586
THA,BEEF,2020,1.233
THA,PIG,2020,9.873
THA,POULTRY,2020,7.902
THA,SHEEP,2020,0.043
UKR,BEEF,2020,4.644
UKR,PIG,2020,12.86
UKR,POULTRY,2020,22.693
UKR,SHEEP,2020,0.28
VNM,BEEF,2020,8.254
VNM,PIG,2020,25.017
VNM,POULTRY,2020,16.521
VNM,SHEEP,2020,0.167
WLD,BEEF,2020,6.391
WLD,PIG,2020,10.678
WLD,POULTRY,2020,14.875
WLD,SHEEP,2020,1.759
NOR,BEEF,2020,12.806
NOR,PIG,2020,21.102
NOR,POULTRY,2020,17.837
NOR,SHEEP,2020,4.477
CHE,BEEF,2020,13.107
CHE,PIG,2020,22.46
CHE,POULTRY,2020,14.769
CHE,SHEEP,2020,1.146
GBR,BEEF,2020,11.329
GBR,PIG,2020,15.816
GBR,POULTRY,2020,30.451
GBR,SHEEP,2020,3.928
