loc,time,beef,pig,lamb,poultry
AUS,2020,19.438,20.212,5.874,43.792
CAN,2020,17.578,15.881,0.974,35.527
JPN,2020,7.643,16.13,0.16,17.734
KOR,2020,11.85,31.565,0.332,18.742
MEX,2020,8.971,14.42,0.544,30.586
NZL,2020,11.548,19.063,3.446,40.079
TUR,2020,9.633,0,4.231,19.183
USA,2020,26.195,23.983,0.431,50.963
ARG,2020,36.894,11.476,0.973,38.088
BRA,2020,24.445,12.753,0.521,40.762
CHL,2020,20.262,24.762,0.484,37.073
CHN,2020,4.186,22.718,3.305,14.191
COL,2020,8.62,8.994,0.142,31.704
EGY,2020,7.8,0.002,1.093,11.243
ETH,2020,2.486,0.014,0.469,0.113
IND,2020,0.532,0.168,0.458,2.517
IDN,2020,2.178,1.008,0.429,7.903
IRN,2020,5.77,0,4.184,23.474
ISR,2020,23.214,1.311,1.525,64.436
KAZ,2020,19.828,4.664,8.247,16.761
MYS,2020,5.409,5.263,1.072,49.333
NGA,2020,1.306,1.079,1.72,0.842
PAK,2020,6.422,0,2.018,6.621
PRY,2020,12.034,21.479,0.493,5.339
PER,2020,4.143,4.038,1.027,45.957
PHL,2020,3.129,14.898,0.506,13.742
RUS,2020,10.034,20.714,1.276,30.816
SAU,2020,3.868,0.402,4.387,34.83
ZAF,2020,11.395,3.699,2.586,34.5
THA,2020,1.233,9.873,0.043,7.902
UKR,2020,4.644,12.86,0.28,22.693
VNM,2020,8.254,25.017,0.167,16.521
WLD,2020,6.391,10.678,1.759,14.875
NOR,2020,12.806,21.102,4.477,17.837
CHE,2020,13.107,22.46,1.146,14.769
GBR,2020,11.329,15.816,3.928,30.451
