loc,time,pig,beef,poultry,lamb
AUS,2018,21.395,19.965,42.353,6.982
AUS,2019,20.252,19.698,43.488,6.18
AUS,2020,20.212,19.438,43.792,5.874
AUS,2021,20.004,19.187,44.132,5.912
AUS,2022,20.086,19.088,44.504,5.884
AUS,2023,20.196,18.864,44.842,6.051
AUS,2024,20.22,18.518,44.711,6.077
AUS,2025,20.304,18.439,44.803,6.047
AUS,2026,20.345,18.365,44.889,5.944
AUS,2027,20.412,18.29,44.997,5.818
AUS,2028,20.459,18.217,45.122,5.814
AUS,2029,20.525,18.149,45.229,5.809
CAN,2018,17,18.422,34.836,1.022
CAN,2019,16.259,17.623,35.33,0.978
CAN,2020,15.881,17.578,35.527,0.974
CAN,2021,15.898,17.394,35.786,0.971
CAN,2022,15.793,17.188,36.086,0.968
CAN,2023,15.773,16.994,36.37,0.965
CAN,2024,15.748,16.837,36.566,0.957
CAN,2025,15.672,16.646,36.775,0.948
CAN,2026,15.564,16.461,36.978,0.936
CAN,2027,15.507,16.315,37.178,0.931
CAN,2028,15.446,16.165,37.362,0.922
CAN,2029,15.331,16.021,37.554,0.914
JPN,2018,16.003,7.356,17.374,0.17
JPN,2019,16.156,7.541,17.702,0.173
JPN,2020,16.13,7.643,17.734,0.16
JPN,2021,16.111,7.657,17.785,0.158
JPN,2022,16.064,7.673,17.841,0.156
JPN,2023,16.022,7.598,17.904,0.154
JPN,2024,15.987,7.605,17.971,0.151
JPN,2025,15.959,7.619,18.044,0.149
JPN,2026,15.931,7.626,18.122,0.147
JPN,2027,15.91,7.637,18.205,0.145
JPN,2028,15.886,7.652,18.292,0.143
JPN,2029,15.87,7.666,18.382,0.141
KOR,2018,30.604,10.83,18.035,0.324
KOR,2019,31.229,11.822,18.674,0.332
KOR,2020,31.565,11.85,18.742,0.332
KOR,2021,31.647,11.908,18.82,0.332
KOR,2022,31.697,11.968,18.903,0.332
KOR,2023,31.762,12.031,18.989,0.332
KOR,2024,31.834,12.096,19.081,0.332
KOR,2025,31.917,12.163,19.173,0.333
KOR,2026,32.004,12.234,19.267,0.333
KOR,2027,32.102,12.279,19.363,0.334
KOR,2028,32.199,12.34,19.464,0.334
KOR,2029,32.31,12.404,19.567,0.335
MEX,2018,14.05,9.243,30.101,0.533
MEX,2019,14.401,9.167,30.534,0.545
MEX,2020,14.42,8.971,30.586,0.544
MEX,2021,14.494,8.986,30.708,0.542
MEX,2022,14.532,8.996,30.819,0.54
MEX,2023,14.571,9.036,30.914,0.539
MEX,2024,14.617,9.096,31.025,0.539
MEX,2025,14.667,9.1,31.135,0.54
MEX,2026,14.716,9.128,31.242,0.54
MEX,2027,14.768,9.108,31.356,0.541
MEX,2028,14.817,9.092,31.473,0.542
MEX,2029,14.875,9.06,31.593,0.543
NZL,2018,18.934,11.837,39.619,4.24
NZL,2019,18.938,11.609,41.101,3.596
NZL,2020,19.063,11.548,40.079,3.446
