loc,pig2018,pig2019,pig2020,pig2021,pig2022,pig2023,pig2024,pig2025,pig2026,pig2027,pig2028,pig2029,beef2018,beef2019,beef2020,beef2021,beef2022,beef2023,beef2024,beef2025,beef2026,beef2027,beef2028,beef2029,poultry2018,poultry2019,poultry2020,poultry2021,poultry2022,poultry2023,poultry2024,poultry2025,poultry2026,poultry2027,poultry2028,poultry2029,lamb2018,lamb2019,lamb2020,lamb2021,lamb2022,lamb2023,lamb2024,lamb2025,lamb2026,lamb2027,lamb2028,lamb2029
AUS,21.40,20.25,20.21,20.00,20.09,20.20,20.22,20.30,20.35,20.41,20.46,20.53,19.97,19.70,19.44,19.19,19.09,18.86,18.52,18.44,18.37,18.29,18.22,18.15,42.35,43.49,43.79,44.13,44.50,44.84,44.71,44.80,44.89,45.00,45.12,45.23,6.98,6.18,5.87,5.91,5.88,6.05,6.08,6.05,5.94,5.82,5.81,5.81
CAN,17.00,16.26,15.88,15.90,15.79,15.77,15.75,15.67,15.56,15.51,15.45,15.33,18.42,17.62,17.58,17.39,17.19,16.99,16.84,16.65,16.46,16.32,16.17,16.02,34.84,35.33,35.53,35.79,36.09,36.37,36.57,36.78,36.98,37.18,37.36,37.55,1.02,0.98,0.97,0.97,0.97,0.97,0.96,0.95,0.94,0.93,0.92,0.91
JPN,16.00,16.16,16.13,16.11,16.06,16.02,15.99,15.96,15.93,15.91,15.89,15.87,7.36,7.54,7.64,7.66,7.67,7.60,7.61,7.62,7.63,7.64,7.65,7.67,17.37,17.70,17.73,17.79,17.84,17.90,17.97,18.04,18.12,18.21,18.29,18.38,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14
KOR,30.60,31.23,31.57,31.65,31.70,31.76,31.83,31.92,32.00,32.10,32.20,32.31,10.83,11.82,11.85,11.91,11.97,12.03,12.10,12.16,12.23,12.28,12.34,12.40,18.04,18.67,18.74,18.82,18.90,18.99,19.08,19.17,19.27,19.36,19.46,19.57,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34
MEX,14.05,14.40,14.42,14.49,14.53,14.57,14.62,14.67,14.72,14.77,14.82,14.88,9.24,9.17,8.97,8.99,9.00,9.04,9.10,9.10,9.13,9.11,9.09,9.06,30.10,30.53,30.59,30.71,30.82,30.91,31.03,31.14,31.24,31.36,31.47,31.59,0.53,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
NZL,18.93,18.94,19.06,19.12,19.15,19.20,19.24,19.29,19.34,19.40,19.45,19.51,11.84,11.61,11.55,11.66,11.37,11.36,11.35,11.34,11.34,11.33,11.32,11.32,39.62,41.10,40.08,40.04,40.13,40.21,40.30,40.40,40.50,40.60,40.70,40.82,4.24,3.60,3.45,3.36,3.29,3.25,3.20,3.14,3.07,3.01,2.95,2.89
TUR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.84,9.47,9.63,9.82,9.97,10.12,10.28,10.45,10.61,10.76,10.92,11.08,18.62,19.06,19.18,19.50,19.82,20.13,20.43,20.73,21.03,21.31,21.60,21.89,4.31,4.26,4.23,4.21,4.20,4.20,4.20,4.19,4.19,4.18,4.17,4.16
USA,23.25,24.00,23.98,23.88,23.79,23.73,23.85,23.92,23.96,23.90,23.86,23.83,26.06,26.32,26.20,26.08,25.34,25.32,25.31,25.39,25.58,25.71,25.95,25.97,49.44,50.10,50.96,50.80,50.90,50.90,50.91,50.91,50.90,50.89,50.89,50.88,0.51,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
ARG,11.05,11.37,11.48,11.54,11.55,11.54,11.53,11.56,11.55,11.57,11.58,11.60,38.88,37.99,36.89,36.85,36.89,36.76,36.63,36.52,36.39,36.26,36.14,36.04,38.46,37.92,38.09,38.12,38.16,38.20,38.25,38.30,38.35,38.40,38.46,38.53,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98
BRA,12.71,12.85,12.75,12.86,13.06,12.92,12.99,13.08,13.16,13.25,13.33,13.42,25.26,25.19,24.45,24.61,24.56,24.62,24.65,24.75,24.69,24.60,24.50,24.43,40.11,40.30,40.76,40.77,40.67,40.63,40.59,40.54,40.48,40.44,40.41,40.37,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
